query_gene	target_gene
cluster_10005	LOC145242974
cluster_10011	LOC145283636
cluster_10040	LOC145252460
cluster_10054	LOC145283849
cluster_10060	LOC145254807
cluster_10073	LOC145252748
cluster_10093	LOC145277625
cluster_10098	LOC145266926
cluster_10107	LOC145266322
cluster_10109	LOC145261042
cluster_10117	LOC145270451
cluster_10118	LOC145260663
cluster_10125	LOC145254686
cluster_10127	LOC145263223
cluster_1014	LOC145298061
cluster_10140	LOC145294232
cluster_10142	LOC145241637
cluster_10144	LOC145240128
cluster_10149	LOC145260690
cluster_10156	LOC145296831
cluster_10177	LOC145292128
cluster_10190	LOC145248315
cluster_10197	LOC145256369
cluster_10212	LOC145291146
cluster_1025	LOC145294249
cluster_10266	LOC145242541
cluster_10271	LOC145292126
cluster_1028	LOC145249631
cluster_10286	LOC145261195
cluster_10293	LOC145268828
cluster_1030	LOC145260589
cluster_10343	LOC145243069
cluster_10383	LOC145276656
cluster_1040	LOC145263190
cluster_1044	LOC145261202
cluster_10472	LOC145248122
cluster_10475	LOC145296868
cluster_10494	LOC145276764
cluster_10498	LOC145241562
cluster_10502	LOC145285897
cluster_10510	LOC145266590
cluster_10527	LOC145296645
cluster_10528	LOC145283636
cluster_10549	LOC145292223
cluster_10554	LOC145297817
cluster_10570	LOC145284453
cluster_10585	LOC145260608
cluster_10591	LOC145248167
cluster_10600	LOC145263683
cluster_10618	LOC145279668
cluster_10628	LOC145259847
cluster_10634	LOC145247974
cluster_10636	LOC145293726
cluster_1066	LOC145293752
cluster_10665	LOC145283725
cluster_10671	LOC145249611
cluster_10713	LOC145246848
cluster_10741	LOC145257498
cluster_10752	LOC145249510
cluster_1076	LOC145246842
cluster_10762	LOC145278263
cluster_10766	LOC145265282
cluster_1077	LOC145248954
cluster_10772	LOC145243957
cluster_10775	LOC145242954
cluster_10785	LOC145291147
cluster_10796	LOC145279992
cluster_10800	LOC145260668
cluster_10816	LOC145243432
cluster_10842	LOC145289155
cluster_10844	LOC145292901
cluster_10867	LOC145268640
cluster_10881	LOC145242171
cluster_10889	LOC145277535
cluster_10928	LOC145276700
cluster_10929	LOC145268627
cluster_10941	LOC145243829
cluster_10956	LOC145260536
cluster_1096	LOC145254924
cluster_10977	LOC145241289
cluster_10988	LOC145263847
cluster_10991	LOC145256115
cluster_11003	LOC145286183
cluster_1102	LOC145284032
cluster_11029	LOC145248090
cluster_11040	LOC145279843
cluster_11042	LOC145242911
cluster_11048	LOC145242505
cluster_11054	LOC145278008
cluster_11059	LOC145296204
cluster_11066	LOC145296253
